Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,"College Types","(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
1949,Rajmata Shikshan Prasarak Mandal's Dnyanbhakti Senior College Dudulgaon Pune,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,No,Select,Pune,Gat No-101/102 Moshi Alandi Road Dudulgaon Pune412105,rjspmdsc@rjspmcollege.ac.in,020-27124910,020-27124910,9850716430,Dr.Bagul D.B,Non-Aided
1950,Smt. Kishoritai Adyapak Mahavidyalaya Kamptee,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Kamptee,Co-Education,Urban,No,Select,Nagpur,SMT.KIUSHORITAI BHOYAR ADHYAPAK MAHAVIDYALAYABEHIND KAMPTEE RLY.STATION NEAR DRAGAN PALACE NEW KAM,kamkamptee@gmail.com,07109-28850 mob.9921860021,07109-28850 mob.9921860021,9921860021,DR. Shubhalaxmi S.Jagtap,Non-Aided
1951,Mahatma Phule Maha. Ahmedpur,Swami Ramanand Teerth Marathwada University Nanded,Latur,Ahmadpur,Co-Education,Rural,No,Select,Nanded,Behind Nagar Parishad AhmedpurTq. Ahmedpur Dist latur,mpmahmedpur@gmail.com,02381-263247,02381-263247,9860167912,Dr. Vasant Manikrao Biradar,Aided
1952,Shivtej Arogya seva sanstha Siddhayog Law College Khed,Mumbai University Mumbai,Ratnagiri,Khed,Co-Education,Rural,No,Select,Panvel,Naringi Riverside At Post Tal Khed Dist Ratnagiri Pin Code: 415709.,siddhayoglawcollege@gmail.com,2356299434,-9823947445,9860942448,Bondre Preeti Ratan,Non-Aided
1953,Regal College Shrungartali Tal-Guhagar Dist- Ratnagiri,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Ratnagiri,Guhagar,Co-Education,Rural,No,Select,Panvel,Tauhid Mall Vijapur State Highway ShrungartaliTal-Guhagar Dist-Ratnagiri 415724,regalcollegetali@gmail.com,7875843006,-7875843006,7066034200,Mrs.Reshma Sunil More,Non-Aided
1954,RAJMAL PUGLIYA INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Gondwana University Gadchiroli,Chandrapur,Chandrapur,Co-Education,Tribal,No,Select,Nagpur,MIDC ROAD DATALA SQR,info@rims.org.in,7172230444,07172-230444,9422136109,Mr. Pravin N. Phatale (Officiating ),Non-Aided
1955,Kaiser Education Society’sKaiser College of Commerce Bandra(E) Mumbai-400 051,Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,Yes,Religious,Mumbai,KHERNAGAR MUNICIPAL SCHOOL PREMISES KHERNAGAR BANDRA-EAST MUMBAI-400051SAME AS ABOVE,kaisercc09@gmail.com,022-26472875,022-26472875,9594293050,MRS.BINDU R.BARI,Non-Aided
1956,S.Chandra. Mahila Mahavidyalaya Amgaon,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Amgaon,Girls,Rural,No,Select,Nagpur,Bangaon Road Amgaon,trushna.kalambe@gmail.com,91-9422736759,91-9422736759,7875892981,Dr. Trushna S. Kalambe,Aided
1957,R.R. Educational Trust’s College of Education Shankar Marg MHADA Colony Eastern Express Highway,Mumbai University Mumbai,Mumbai Suburban,Kurla,Co-Education,Urban,Yes,Linguistic,Mumbai,386 Mhada Colony Off E E HighwayR R Educational Trust Marg,spj.kanchan@gmail.com,022-25634866,022-25634865,9833488952,Mrs. Suman Verma,Non-Aided
1958,Ujwal Gramin Mahavidyalaya Ghonsi,Swami Ramanand Teerth Marathwada University Nanded,Latur,Jalkot,Co-Education,Rural,No,Select,Nanded,at. ghonsi Tq. jalkot,prinugmg.340@rediffmail.com,02385-263407,02385-263407,9822145010,Dr. Sadanand Hariba Gone,Aided
1959,D.T.S.S. COLLEGE OF COMMERCE,Mumbai University Mumbai,Mumbai Suburban,Borivali,Co-Education,Urban,Yes,Linguistic,Mumbai,KurarMalad (East) Mumbai - 400097,admin@sanskarsarjan.org,0,022-28400214,9322505265,I/c Dr. Sussmita G. Daxini,Aided
1960,Priyadarshini College of Education,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,Yes,Linguistic,Nagpur,156Vijay Housing Society Manish Layoutsonegaon Post- PratapnagarNagpur-440022,principal.priyadarshini@gmail.com,0712-2291318 9421779127,0712-2291318 9421779127,7588740132,Dr. Sadhana Makde,Non-Aided
1961,kamaladevi Shikshan Mahavidyalaya Chandrapur,Gondwana University Gadchiroli,Chandrapur,Chandrapur,Co-Education,Urban,Yes,Linguistic,Nagpur,Bajaj Chandrapur Polytechnic Campus Chandrapur Balaji ward Chandrapur,ksmchandrapur@hotmail.com,07172-262835,07127-262835,9407510037,Dr. Hemakant Narayanrao Wakde,Non-Aided
1962,Govt. of Maharashtra's Govt. Law College Mumbai,Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,No,Select,Mumbai,A' Road ChurchgateMumbai - 20,principal@glcmumbai.com,022-22041707,022-22041707,,Dr. Asmita Vaidya,Govt.
1963,Khilesh Mahavidyalaya Salekasa Dist Gondia,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Salekasa,Co-Education,Rural,Yes,Religious,Nagpur,Near Gov. ITI college Darekasa Raod Salekasa Tah. Salekasa Dist Gondia,khilesh_college@rediffmail.com,7180244020,-9422834130,9422834221,KHUSHAL N. SAKHARE,Non-Aided
1964,Santosh Bhimrao Patil CollegeMandrup,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,Solapur South,Co-Education,Rural,Yes,Linguistic,Solapur,A/P SANTOSH BHIMRAO PATIL ARTS COMMERCE AND SCIENCE COLLEGE MANDRUP TAL.SOUTH SOLAPUR DIST.SOLAPUR-,sbpcollegemandrup@rediffmail.com,0217-2255847,0217-2255847,9421065975,Dr.Bhimasankar Murgyappa Bhanje,Aided
1965,Bharati Vidyapeeth's Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya Kadegoan,Shivaji University Kolhapur,Sangli,Kadegaon,Girls,Rural,No,Religious,Kolhapur,At/Post - KadegaonDist - Sangli At/Post - Kadegaon Dist - Sangli,bvmbsk@yahoo.com,02347-242218,-,9822917258,Dr. Vishnu Yadavrao Kadam,Aided
1966,Rajiv Gandhi Kala Mahavidyalaya Patan,Gondwana University Gadchiroli,Chandrapur,Jiwati,Co-Education,Tribal,No,Select,Nagpur,At- Patan Ta- Jiwati Dis- ChandhapurAt- Patan Ta- Jiwati Dis- Chandhapur,bodhibandhu@gmail.com,-9552020847,-9552020847,9420287245,S. P. Gondane,Non-Aided
1967,Jai Bajrang Pratishthan's B.Ed. College A/p. Wadgaon Anand (Alephata) Tal. Junnar District - Pune,Savitribai Phule Pune University Pune,Pune,Junnar,Co-Education,Rural,No,Select,Pune,At Post Wadgaon Anand (Alephata) Plot No. 312-316Taluka Junnar District Pune,jbpbed@gmail.com,02132-262551,02132-262551,9822595445,Shri. Dhokane Ramkisan Gorakshnath,Non-Aided
1968,Swami Muktanand College of Science YEOLA,Savitribai Phule Pune University Pune,Nashik,Yeola,Co-Education,Rural,No,Select,Pune,STATION ROAD GANGADARWAJA YEOLA TAL. YEOLA DIST. NASIK PIN-423401,smcs_yeola@yahoo.com,02559-266193,02559-266193,9422943255,Dr. Goswami Dhanraj Babugir,Aided
1969,K.H.M.W. College of Commerce Relief Road Oshiwara Opp. Oshiwara Muslim Cementry Jogeshwari (W),Mumbai University Mumbai,Mumbai Suburban,Andheri,Co-Education,Urban,Yes,Religious,Mumbai,Relief Road Opp. Oshiwara Muslim KabrastanOshiwara Jogeshwari (W) Mumbai - 400102.,khmwdegree@gmail.com,022-26780865,022-26780865,9820211504,Prof. Abdul Aziz Shaikh,Non-Aided
1970,Audyogik Shikshan Mandal Institute of Management & Computer Studies Near Mulund Check Naka Thane,Mumbai University Mumbai,Thane,Thane,Co-Education,Urban,No,Select,Panvel,Wagle Industrial Estate Near MulundCheck Naka Thane-400604,imcost@rediffmail.com,0251-25834443,0251-25834443,8454074320,Irshaad Kazi,Non-Aided
1971,K.J.SOMAIYA COLLEGE OF SCIENXCE AND COMMERCE,Mumbai University Mumbai,Mumbai Suburban,Kurla,Co-Education,Urban,Yes,Linguistic,Mumbai,Vidyanagar Vidyavihar Mumbai-400 077,principal.kjssc@somaiya.edu,022-221020615,022-21020718 / 21025919,9820009267,Dr.Pradnya J Prabhu,Aided
1972,Shantabai Bhaiya Mahila Mahavidyalaya Bramhapuri,Gondwana University Gadchiroli,Chandrapur,Brahmapuri,Girls,Rural,Yes,Linguistic,Nagpur,N.H.COLLEGE BRAMHAPURI,sbmmcollege@gmail.com,9423405880,-9423417790,9423405880,Dr. Harsha P Kanfade,Non-Aided
1973,Shivneri College Shirur Anatpal,Swami Ramanand Teerth Marathwada University Nanded,Latur,Shirur Anantpal,Co-Education,Rural,No,Select,Nanded,At.post.shirur anantpal dist.laturAt.post.shirur anantpal dist.latur,vijayjagle777@gmail.com,02384-250005,02384-250005,9130055551,Dr. N.B. Suryavanshi N.B.,Aided
1974,Anand Niketan Arts Commerce & Science College Warora Dist.Chandrapur,Gondwana University Gadchiroli,Chandrapur,Warora,Co-Education,Rural,No,Select,Nagpur,At Post. Anandwan  Tah. Warora Distt. Chandrapur (MS) Pin Code 442914,anandniketancollege@gmail.com,07176-282006,07176-282006,9403816244,Dr. M. C. Kale,Aided
1975,M.S.G. College Malegaon-Camp,Savitribai Phule Pune University Pune,Nashik,Malegaon,Co-Education,Urban,No,Select,Pune,Loknete vyantrao Hiray Marg Malegaon CampLoknete vyantrao Hiray Marg Malegaon Camp,msgcollege@rediffmail.com,02554-252077,02554-252077,7391056017,Dr.Subhash Namdeo Nikam,Aided
1976,Rajkuwar Bhhaudeshiya sevabhavi sanstheche Rajkuwar Arts Commerce & Science College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Jalna,Bhokardan,Co-Education,Rural,No,Select,Aurangabad,AT POST DHAWDA TQ BHOKARDHAN DIST JALNA,rajkunwarcollegedhawda@gmail.com,02485-243551,02485-243551,9090646712,DR B L MHASKE,Non-Aided
1977,D.P.B.Dayanand College of EducationSholapur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,North Solapur,Co-Education,Urban,No,Select,Solapur,Dayanand NagarRaviwar PethSolapur.Pin 413002,dcesolapur@gmail.com,0217-2373237,0217-2373237,9822338793,Dr.S.B.Kshirsagar,Aided
1978,Adarsh Shikshan PrasarakMandal’s D.D. Vispute College of Education Plot No. 41,Mumbai University Mumbai,Raigad,Panvel,Co-Education,Urban,No,Select,Panvel,Plot No.41 Sector 15 New Panvel Dist Raigad.,visputebedprins@gmail.com,2227462886,022-32018867,9921709207,Dr.Seema Nivrutti Kamble,Non-Aided
1979,Dr. Babasaheb Ambedkar Smarak Samiti Sanchalit Mahatma Phule B.ed College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,Yes,Religious,Aurangabad,Phulenagar Usmanpura Aurangabad.Phulenagar Usmanpura Aurangabad,bhimrao.gawai123@gmail.com,-2402353590,-9404013911,9404013911,Dr R.B.Khillare,Non-Aided
1980,Late. Shri. K.G.Choudhari College Arvi Wardha.,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Wardha,Arvi,Co-Education,Urban,No,Select,Nagpur,In Front of Shri Hari Colony Wardha Road Arvi Tah Arvi Dist Wardha,lateshrikgchoudharicollegearvi@gmail.com,7151218588,-9766974077,9766974077,Dr.. Yogesh V. Sable,Non-Aided
1981,Tejgyan senior college,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Parbhani,Parbhani,Co-Education,Urban,No,Select,Nanded,gajanan nagarkaregaon road,tejgyanseniorcollege378@gmail.com,91-9922046020,91-9922046020,7350849193,SWAPNIL SHIVAJIRAO BHAIRAT,Non-Aided
1982,G.J. Advani Law College Bandra Mumbai(w),Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,Yes,Linguistic,Mumbai,32nd Linking RoadBarrester Hotchand Advani Marg Bandra(W)Mumbai-4000 50,galc77@yahoo.co.in,022-26497484,022-26497484,9619168294,Dr.Bindu Variath,Aided
1983,B.G College of Civil services Chamorshi Near Thasil Karyalaya Chamorshi Dist. Gadchiroli,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Gadchiroli,CHAMORSHI,Co-Education,Rural,No,Select,Nagpur,sdo office near govardhan house hanuman ward chamorshi,bgcollegechamorshi@gmail.com,,-,9421818382,dushan walke,Non-Aided
1984,Shantiniketan Women College of Education,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Girls,Urban,Yes,Linguistic,Nagpur,Upalwadi Kamptee RoadNagpur,shantiniketan_bed@yahoo.in,8788115432,0712-6469371,9657766740,Dr.Vandana P.Benjamin,Non-Aided
1985,Padmavati collage of computer science,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Rural,No,Religious,Aurangabad,At Post KrushnapurwadiTq. Dist. Aurangabad.,padmavaticollege@gmail.com,0240-2381919,0240-2381919,9860207051,Varsha J Sawarkar,Non-Aided
1986,Arya Samaj Trust Pimpari Arya Mahavidyalaya of Commerce,Savitribai Phule Pune University Pune,Pune,Haveli,Girls,Urban,No,Select,Pune,Maharishi Dayanand Marg Pimpri Pune-17.,aryamahavidyalaya@gmail.com,020-27415830,020-27415830,9850497899,Dr. T.G.Gite,Non-Aided
1987,Pravara Medical Trusts Arts Commerce and Science College Shevgaon,Savitribai Phule Pune University Pune,Ahmednagar,Shevgaon,Co-Education,Rural,No,Select,Pune,Ayurved College Campus Shevgaon Tal Shevgaon Dist. Ahmednagar,pmt.acsc@gmail.com,02429-223031,02429-223031,9422855890,Dr Onkar Jeevan Rasal,Non-Aided
1988,New Arts Commerce & Science College Shevgaon. Dist- Ahmednagar,Savitribai Phule Pune University Pune,Ahmednagar,Shevgaon,Co-Education,Rural,No,Select,Pune,Miri Road Shevgaon Tal- Shevgaon,newartsshevgaon1@yahoo.co.in,02429-221267/222593,02429-221267/222593,9552554284,Dr. Kunde Purushottam Raosaheb,Aided
1989,R. N. Education Trust's Reckon Women Degree College of CommerceNalasopara (E)Dist.- Palghar-401209,Mumbai University Mumbai,Palghar,Vasai-Virar,Girls,Rural,No,Select,Panvel,R.N. NAGAR R.N.ROAD BEHIND SHALIMAR ESTATE VAKANPADA NALASOPARA EAST,reckonpublicacademy@gmail.com,91-9321022495,91-9321022495,9960109184,ROHIT NANHE SINGH,Non-Aided
1990,Shaheed Dunichand T Kalani Memorial Trust's College of Education,Mumbai University Mumbai,Thane,Ulhasnagar,Co-Education,Urban,Yes,Linguistic,Panvel,SITE NO. 57 A-BLOCK ROADNEAR SHAHAD RAILWAY STATION (EAST),sdtk@rediffmail.com,0251-2733108,0251-2733108,7021899578,Dr. (MRS.) SONIA SANDEEP BHASIN,Non-Aided
1991,Dr. Ambedkar Arts & Commerce College Yerwada Pune,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,No,Select,Pune,S.NO.14 JAIJAWAN NAGAR YERWADA,drambedkarcollege@gmail.com,020-26615200,020-26615200,8983346885,SHRI BIRMAL N.V.,Aided
1992,Mahila Bahuuddeshiya Shikshan Sanstha's College of Education,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Wardha,Wardha,Co-Education,Rural,No,Select,Nagpur,NEAR DATEY SABHAGRUH GANDHI CITY PUBLIC SCHOOL WING A INGLE NAGARI ARVI ROAD PIPRI MEGHE WARDHA,mbsscoe@gmail.com,7152241075,-8208764776,8208764776,DR. DEEPAK B. PUNSE,Non-Aided
1993,Aditi College of Hotel Management and Civil Services Waksai Tal-Mawal Dist- Pune,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Pune,Maval,Co-Education,Urban,No,Select,Pune,House No 02 Mumbai -Pune RoadWaksai Ta Mawal Dist Pune,pavitra1409@gmail.com,9405724068,-9405724068,,MASKE GOVIND KAKSAEHB,Non-Aided
1994,Govt. of Maharashtra's Govt. College of Education Ambajogai Dist. Beed.,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Ambajogai,Co-Education,Rural,No,Select,Aurangabad,Govt. College of Education Near Ramabai Chouk Ambajogai Tq. Ambajogai. Dist. Beed. 431517,govtbeed@gmail.com,02446-245056,02446-247056,9422931404,Dr. Smt. Kalpana Adinath Belokar,Govt.
1995,Shri G.V.S.M. College Manur Tq. Shirur Dist. Beed,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Shirur,Co-Education,Rural,No,Select,Aurangabad,AT.POST.MANUR TQ. SHIRUR (KA.) DIST.BEED 413249,devdhecb2016@gmail.com,2444247247,-9657685952,9657685952,Dr.Kale Bhanudas Vitthalrao,Non-Aided
1996,Sheeladevi College of Education Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Rural,Co-Education,Rural,No,Select,Nagpur,amravati road wadi(Datta wadi) nagpur,sheeladevibedcollege@gmail.com,07140-222175,07140-222175,9422803071,DR. SUREKHA SHARMA,Non-Aided
1997,Pragati Arts Mahila College Bhandara,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Bhandara,Girls,Urban,No,Select,Nagpur,Near S.T.WorkshopN.H.No.6Nagpurroad Mangal PandeWardBhandara Tah.Dist.Bhandara-441904(MS),pragatimahila.college@gmail.com,07184-253626,07184-253626,9822941192,Dr. Shyamkumar Purushottam ChardePrincipal,Aided
1998,S. N. Mor College Tumsar Dist Bhandara,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Tumsar,Co-Education,Rural,No,Select,Nagpur,Sant Jagnade Nagar Tumsar 441912,principalsnmorcollege@rediffmail.com,07183-233300,07183-233300,9422113067,Dr. Chetankumar Bhimrao Masram,Aided
1999,Lt.Y.D.Law CollegeAchalpur CampParatwada.,Sant Gadge Baba Amravati University Amravati,Amravati,Achalpur,Co-Education,Rural,Yes,Religious,Amravati,LIC Square to Court Road Achalpur Camp ParatwadaDist. Amravati (Maharashtra)Pin-444805,y.d.lawcollege@gmail.com,9764924797,91-9764924797,9423123047,Shri. R. B. Shrivas,Non-Aided
2000,satyajeet science college mehkar,Sant Gadge Baba Amravati University Amravati,Buldhana,Mehkar,Co-Education,Rural,No,Select,Amravati,KHANDALA MEHKAR Dist-Buldhana,MATOSHRI.EDU@GMAIL.COM,07268-224240 9422884953,07268-224240 9422884953,9028484826,Mr NAGESH V DESHMUKH,Non-Aided
2001,Mauli Vidyapeeth Kaij's Pramiladevi Patil MahavidyalayaNeknoor,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Beed,Co-Education,Rural,No,Select,Aurangabad,Pramiladevi patil Art's & Science college NeknoorDist- Beed,prin.pdpmn@rediffmail.com,02442-250032,02442-250032,9423732424,Dr.Dadasaheb Uttamrao Mote,Aided
2002,All India Shri Shivaji Memorial Society's College of Hotel Management & Catering Technology,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,No,Select,Pune,55-56 Shivajinagar Pune -411005,officeadmin@aissmschmct.in,020-25520488 25521365 25511655,020-25520488 25521365 65002959,9881401482,Dr. Sonali Jadhav,Non-Aided
2003,Dr. D.Y. Patil Arts Commerce & Science Women's College Pimpri Pune 411018.,Savitribai Phule Pune University Pune,Pune,Haveli,Girls,Rural,No,Select,Pune,Behind Y.C.M. Hospital Sant Tukaram NagarPimpri Pune 411018,info.acsw@dypvp.edu.in,020-27805882,020-27424194,9822064216,Dr.Suresh Radhu Dharane,Non-Aided
2004,Mauli Prashaskiya Seva Varishtha Mahavidyalay Rohanwadi Pachan-Wadgaon Road,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Jalna,Jalna,Co-Education,Rural,No,Select,Aurangabad,At. Rohanwadi Tq Dist JalnaAt. Rohanwadi Tq. Dist. Jalna,maulicsc2021@gmail.com,-9699754321,-9699754321,9404253513,SHARAD GANGADHARAO KAWANKAR,Non-Aided
2005,Savitribai Phule Mahila Mahavidyalaya Satara,Shivaji University Kolhapur,Satara,Satara,Girls,Urban,No,Select,Kolhapur,Karmaveer Samadhi Parisar Powai Naka Satara - 415001 Tal.Dist. Satara (Maharashtra),savitribai_phule@yahoo.com,2162231705,-2162231705,9421208924,Dr.Shivling Gangadhar Menkudale,Aided
2006,SHIKSHAK SANCHAIT SHIKSHAN SANSTHA'S ARTS SCIENCE AND COMMERCE COLLEGE WADA DIST. THANE,Mumbai University Mumbai,Palghar,Vada,Co-Education,Rural,No,Select,Panvel,AT KOLEKARPADA AT POST TAL WADA,ssssaccwadat25@rediffmail.com,2526271466,-9270806250 9273748764,8806431975,N K PHADKE,Aided
2007,PRANJAL KALAVANIJYAVIDNYAN MAHAVIDYALAY MOTALA,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Buldhana,Motala,Co-Education,Rural,No,Linguistic,Amravati,Nandura Road Motala Tq.Motala Dist.Buldana.Nandura Road Motala Tq.Motala Dist.Buldana.,ssthoke272@gmail.com,91-9527526257,91-9527526257,7267299353,Pavan Avinash Jadhao,Non-Aided
2008,Shri Sakharamji Deshmukh Mahila Mahavidyalay Zilmili (Kamtha),Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Gondia,Girls,Rural,No,Select,Nagpur,zilmili kamtha zilmili kamtha,mahendra.deshmukh567@gmail.com,0,91-9326299995,9326299995,Mahendra Sakharamji Deshmukh,Non-Aided
2009,Poona College of Arts Science & Commerce,Savitribai Phule Pune University Pune,Pune,Pune City,Co-Education,Urban,Yes,Religious,Pune,Anjuman Khairul Islam's Poona College of ArtsSciCom.1647 New Modikhana K.B.Hidayatulla Road Camp,principal@poonacollege.edu.in,2026454240,020-26454240,9822621579,Dr. Shaikh Aftab Anwar Maqbool,Aided
2010,Sheth Hirachand Mutha Shaikshanik Trust’s College of Arts Commerce& Science Koliwali,Mumbai University Mumbai,Thane,Kalyan,Co-Education,Rural,Yes,Religious,Panvel,kolivali Umbardegaon Adharwadi Jail RoadKalyan - 421301 Thane,mutha_college@yahoo.co.in,2512315252,-9594038025,9323257581,Mrs. Vaishali Gokhale,Non-Aided
2011,Smt. Gangabai Khivraj Ghodawat Kanya Mahavidyalaya Jaysingpur-416 101,Shivaji University Kolhapur,Kolhapur,Shirol,Girls,Rural,Yes,Religious,Kolhapur,A/P Shirol Wadi Road Jaysingpur,gkgkmj@rediffmail.com,02322-225963,02322-225963,942114041,Dr. D. B. Karnik,Aided
2012,Arvindbabu Deshmukh Arts & Commerce College Bharsingi Dist Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Narkhed,Co-Education,Rural,No,Select,Nagpur,Bharsingi Tah. Narkhed Dist. Nagpur [441 305],admv_bharsingi@rediffmail.com,07105-233329,07105-233329,8806294757,Dr. Prakash Dhansing Pawar,Aided
2013,Karmayogi Tulshiram Pawar Mahavidyalaya Hadolti,Swami Ramanand Teerth Marathwada University Nanded,Latur,Ahmadpur,Co-Education,Rural,No,Select,Nanded,K.TP College Hadolti,dr.kalbandebv@gmail.com,2381262005,-9421756223,9421756223,Dr.Kalbande Bapusaheb Vishwanathrao,Aided
2014,DAVID KEERTI TECHNICAL COLLEGE DESAIGANJ(WADSA),Gondwana University Gadchiroli,Gadchiroli,Desaiganj Wadsa,Co-Education,Tribal,No,Select,Nagpur,TUKUM WARD WADSA,aniket.csww01@gmail.com,-,-,9552929711,B.M. KATRE,Non-Aided
2015,Khalapur Taluka Shikshan Prasarak Mandal's Khopoli Muncipal Council College of Art's Sci & Comm,Mumbai University Mumbai,Raigad,Khalapur,Co-Education,Rural,No,Select,Panvel,At Post Khopoli Tal. Khalapur Dist Raigad,college_kmc@yahoo.co.in,02192-263304 (O)  262004 (D) 268358 (F),02192-263304 (O)  262004 (D) 268358 (F),9930550046,Dr. Pratap Ganpatrao Patil,Aided
2016,K.P.G.ArtsCommerce & Science College Igatpuri,Savitribai Phule Pune University Pune,Nashik,Igatpuri,Co-Education,Tribal,No,Select,Pune,Near Take Ghoti Mumbai Agra Road NashikNear Take Ghoti Mumbai Agra Road Nashik,srcollege.igatpuri@mvp.edu.in,9422246082,02553-202410,9422246082,Dr. Pandurang Raghunath Bhabad,Aided
2017,Gajanan Mahavidhyalaya,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Sillod,Co-Education,Rural,No,Select,Aurangabad,Aurangabad-Jalgaon Highway GolegaonTq. Sillod Dist. Aurangabad-431112,gajanancollege.1951@gmail.com,0240-2380194,0240-2380194,9158480062,Dr Saraf Satish Vasantchandra,Non-Aided
2018,Raje Baag Sawar Shikshan SansthaMarathwada Mhila Kala Mahavidayalya Altamash ColonyAurangabad.,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Aurangabad,Aurangabad,Girls,Urban,Yes,Religious,Aurangabad,Plot No.33 Altamash ColonyCentral Naka roadAurangabad.,mmkmaurangabad@gmail.com,0240-300351,0240-300351,9028152613,Sayeda Tabassum,Non-Aided
2019,N.L.Dalmia College of Arts Commerce and Science Mira Road (E)Thane,Mumbai University Mumbai,Thane,Thane,Co-Education,Urban,Yes,Linguistic,Panvel,Srusthi Sector-1Mira Road (E),info@nldalmia.co,022-42990077,022-42990033,9930888222,Dr Ganesh Pawar,Non-Aided
2020,Rashtrasant Tukdoji College Chimur Dist Chandrapur,Gondwana University Gadchiroli,Chandrapur,Chimmur,Co-Education,Rural,No,Select,Nagpur,Kalyanji NagarChimur,rtmchimur@hotmail.com,07170-265526,07170-265526,9421720317,Shri. Kartik R Patil,Aided
2021,Bramha Chaitan Shikshan Sanstha Sanchlit Radhai College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,No,Select,Aurangabad,cidco n2 j-sector opp. Aurangabad Gymkhana Jalna road Aurangabad.cidco n2 j-sector opp. Aurangab,abdulsamad_farooqui@yahoo.co.uk,0240-2475123,0240-2475123,9421990470,Dr.Farooqui Abdul Samad Gulam Rasool,Non-Aided
2022,Nalanda Mahvidyalya Chikni Dogma,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Yavatmal,NERPARSOPANT,Co-Education,Rural,Yes,Religious,Amravati,CHIKANI DOMGA TQ. NER DIST.YAVATMAL,nalandamaha@gmail.com,91-8668643550,91-8668643550,9158601112,RAHUL HARIBHAU GHARDE,Non-Aided
2023,Bharatiya Jain Sanghatana's Arts Science & Comerce College,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Rural,Yes,Religious,Pune,Bakori Road Pune Nagar Road Tal-Haveli Dist-Pune Pin-412207,admin@bjs.edu.in,,020-27050276,9325005837,Major Dr. Ashok V. Giri,Aided
2024,Nagarjuna Institute Kamathi-Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Kamptee,Co-Education,Rural,No,Select,Nagpur,NagalokaNear Akashwani Relay Centre Kamptee Road BhilgaonNagpur-26 Maharashtra,ninagalok@gmail.com,9579674652,-9049277333,7385588204,Neha Chandrabhan Gajbhiye,Non-Aided
2025,Samarth College Lakhani Dist Bhandara,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Lakhni,Co-Education,Rural,No,Select,Nagpur,Samarth Mahavidyalaya Samarth Nagar Lakhani,smvlakhani@yahoo.in,7186245633,-9403058506,9421712837,Dr. Digambar Dattatray Kapse,Aided
